,time,E,A1, A2,tE
0,0.0,1.0147079622914097,-0.013948253499046433,-0.0033192570599046172,0.002270467638136931
1,1.46,0.9584480839868763,0.02256623986017345,0.014061458402400334,0.0012574009010981235
2,3.46,1.0641561806483888,0.02526790702950006,0.04505486039898208,0.013500530401772074
3,5.46,0.9840896654796123,0.05931301700522548,0.05705074261048505,-0.00010246629184007068
4,7.46,0.9090234595988194,0.10013273240388608,0.10414355914780056,0.00018279240153644302
5,9.46,0.8598210150128333,0.08296874235423235,0.08369135414911538,-0.003969464137465842
6,11.46,0.93203758917385,0.08852708794362735,0.12352624691692783,0.01606304217561627
7,13.46,0.9129786475559225,0.12074750923972775,0.12123589197747751,0.017421750322952272
8,15.46,0.9479029297244347,0.14888941620178558,0.14126163321756896,0.0015809197479127466
9,19.46,0.728177269987232,0.16171235186303518,0.19703232680216493,0.02203922040399126
10,23.46,0.850132016265109,0.18550887524740256,0.19877785784623436,0.012084159433718324
11,27.46,0.7099334470536843,0.20421684784193125,0.2198673225962074,0.02813620249383762
12,31.46,0.6944677707856186,0.20929497981216744,0.29977102810006157,0.03912611006578697
13,40.46,0.6786415853519716,0.2313539949698346,0.3398078261953893,0.0455627655996761
14,50.46,0.5851387381213822,0.28831015878072486,0.3806729219891408,0.049847822349016246
15,60.46,0.5760068472802281,0.30801042309656534,0.42764344092756207,0.06418874998753524
16,90.46,0.4397234164630016,0.3412299596199616,0.46872799447263397,0.10070616449689994
17,120.46,0.41329755406258045,0.34667259836748593,0.6247605337615189,0.1251414147168802
18,150.46,0.3711285442961425,0.31416819818186326,0.5653210165160154,0.1573531777340608
19,180.46,0.3074366938219699,0.32365825477502613,0.6614690292498653,0.18224941742933856
20,240.46,0.25196178684941967,0.33742976144568343,0.799873790552766,0.20464123880500024
21,300.46,0.21932759386991876,0.3989426336187052,0.8012007490507033,0.24270200728936703
22,360.46,0.17590622576669332,0.35129646492492667,0.7783754751994489,0.22494396254382176
23,440.46,0.17888676724255057,0.41147857650915387,0.8262425997598476,0.22158125156686959
24,530.46,0.14872659356150644,0.43059489546364316,0.8045375024430977,0.19893766766923307
25,620.46,0.13045654659979608,0.5126448626400106,0.8972513504227154,0.20743989643577204
26,810.46,0.08349525554681224,0.5811695065598101,0.8090319716868223,0.1687408019676833
27,900.46,0.09706203004027775,0.573395875257213,0.8974759079197535,0.1599122192525642
28,955.0,0.08984108159223243,0.599037669608957,0.8487314861851801,0.1584307814948955
29,1246.0,0.08246753796585822,0.6611569229500655,0.9505924070223167,0.15146612581639712
