,time,E,A1, A2,tE
0,0.0,7.525894728051552,-0.005025371176867628,-0.019285550528579287,0.001037802841387912
1,1.46,8.16946038273756,0.2357444484311574,0.32729543805134126,0.020432958328671542
2,3.46,7.325889237512212,0.4291342604136519,0.7304830618644071,0.14543565289032775
3,5.46,7.0953332724388956,0.5913181044490526,0.9915910925174687,0.2695212656088836
4,7.46,6.297606561131638,0.5639262367421191,1.286710558377045,0.3577326997507721
5,9.46,6.8291892986518965,0.6135073587040905,1.7106563456724966,0.5276624653408792
6,11.46,5.675799222512989,0.5266281663849097,1.7683887599053216,0.6075823881808138
7,13.46,5.6698299546190425,0.5180286078581435,1.847059421193333,0.6944622258221388
8,15.46,5.958525069461451,0.46412859012983737,2.1058751806121006,0.7055097276918725
9,19.46,6.107734455290094,0.3504621164896532,2.3894546028134633,0.9428770423718512
10,23.46,5.900391356225507,0.3011851806196744,2.1996142605188505,1.048585066157867
11,27.46,5.748788134618532,0.22423657966744487,2.49991094249218,1.0979113419221016
12,31.46,5.1124458420458225,0.23695178268854963,2.485074919787575,1.0648363717087577
13,40.46,5.683763914368352,0.2134552162660083,2.3639066011484537,1.1917365449623727
14,50.46,5.299782766921139,0.216647090547713,2.482231536533129,1.2683596528811936
15,60.46,5.6979801334075795,0.20894631782642836,2.6479736988395994,1.3756205324481332
16,90.46,5.282307248509515,0.2111798838362274,2.856859758703189,1.2315918603019922
17,120.46,4.30815234983919,0.24799816244953016,3.0591694603731923,1.3201368287473243
18,150.46,4.876460966835215,0.2602241852745525,2.8345251109211014,1.3877929568360683
19,180.46,5.049788355731073,0.27179284057842173,3.1100374372418047,1.4009442111817125
20,240.46,4.813404632256278,0.2897395612453034,3.375541772519131,1.557790457166099
21,300.46,4.745288185502926,0.32873617870507876,3.5615208352478605,1.4973038770702949
22,360.46,4.435579752467381,0.40373134957847834,3.585384484484291,1.4955037835159726
23,440.46,4.222270427031124,0.46154944975722273,3.866350657823277,1.6551161338475207
24,530.46,3.96468079273601,0.6206473581285692,3.777485295274869,1.7858333367815096
25,620.46,3.338862273662648,0.6984642085973548,4.051769617770358,1.7982681020736893
26,810.46,3.154449405959083,1.004633932886898,4.628058749492009,1.9778636283820588
27,900.46,2.7036621121058526,1.0850626606247182,4.74206799431737,1.8321527488696994
28,955.0,2.6748413105584325,1.1603721571355816,5.491472334129436,2.1997673757453544
29,1246.0,2.3032799373550086,1.6714896084157458,5.547478391697082,2.0173001288442545
